# User			Meike Reginka
# Sample		2021_0185_1
# State			as made
# Profile		mere_beads.txt
# Comment
# ML 
# 
# Meas. type 		Minor loops
# angle (deg)		 0.000
# Hmin (kA/m)		-70.000
# Hmax (kA/m)		70.000
# pts./branch		70
# time/pt. (s)		 0.020
# dt (s)		 0.020
# nCycles		1
# Hstop (kA/m)		 0.000
# wait (s)		60.000
# nSched		5
# nMinorLoops		5
# nX			2
# nY			2
# dx (mm)		 0.250
# dy (mm)		 0.250
# avg. raster		no average raster
# Loop			3/5
# -----------------------------------------------
# H (kA/m) 	 I (arb.u.)
3.597703646842447966e+01 1.840540115351805062e+00
3.407614175227864450e+01 1.839709684119575028e+00
3.191833795328776091e+01 1.839014562768634731e+00
2.995908651334635309e+01 1.837565951098354855e+00
2.774083351839193057e+01 1.835209967282953825e+00
2.552537048632812855e+01 1.832586016839900855e+00
2.351938716796875184e+01 1.831079036201221699e+00
2.134995852360026447e+01 1.829144900839254184e+00
1.908520614713542329e+01 1.827255868771050284e+00
1.705527564729818124e+01 1.826130939561895206e+00
1.480679805436198215e+01 1.824992744678103573e+00
1.256227290885416892e+01 1.823382291777261521e+00
1.059790653694661700e+01 1.821835514114673149e+00
8.341524049153647979e+00 1.821349990422985510e+00
6.088164021158855910e+00 1.819447692680145279e+00
4.088923113118490882e+00 1.818914412559767158e+00
1.844630464518229429e+00 1.818282966447081428e+00
-3.808299345703125560e-01 1.816683126085947730e+00
-2.623030111002604414e+00 1.816062292512971021e+00
-4.642265753092448932e+00 1.814465105286765079e+00
-6.902368191406250908e+00 1.812748526988832598e+00
-9.131083547200523398e+00 1.811199096191317359e+00
-1.108452256445312578e+01 1.809394964440785625e+00
-1.333323265429687865e+01 1.808224931937867153e+00
-1.557752530289713988e+01 1.806959386577567717e+00
-1.759420347900391235e+01 1.806481822290662453e+00
-1.981966387809245234e+01 1.805176479906453801e+00
-2.205209918440755601e+01 1.804502583634931101e+00
-2.403739027799479544e+01 1.802629470376290843e+00
-2.627424302555338542e+01 1.801467397278154303e+00
-2.855666516699218604e+01 1.800406143307253126e+00
-3.056962339257812999e+01 1.799774697194567175e+00
-3.280438366796875016e+01 1.797554023260456324e+00
-3.484268405647786437e+01 1.796078880240903564e+00
-3.711022639583332960e+01 1.794086375910537212e+00
-3.713161611132812112e+01 1.794179235632991087e+00
-3.511307795996093972e+01 1.794593124681642449e+00
-3.324171035107421801e+01 1.795330696191418163e+00
-3.110622625520833751e+01 1.796341540598701991e+00
-2.917580443180338179e+01 1.797336466196421734e+00
-2.701637315445963949e+01 1.798869978184373997e+00
-2.484438704410807475e+01 1.800560025133033815e+00
-2.283305629687500371e+01 1.801517806841771874e+00
-2.065874521744792247e+01 1.803061931369432935e+00
-1.843560978743490253e+01 1.804449520936386220e+00
-1.646357101757812913e+01 1.806418147052408330e+00
-1.422230082877604396e+01 1.806821423561350448e+00
-1.200614030598958593e+01 1.808551267533919038e+00
-1.000178446598307502e+01 1.809004953606479171e+00
-7.816313534993490464e+00 1.810286417776342249e+00
-5.552491146158854640e+00 1.811045214365536449e+00
-3.546042833984375253e+00 1.812034833693401570e+00
-1.298960222493489747e+00 1.813679777348298217e+00
9.274301642252604783e-01 1.814637559057036276e+00
3.183115161295573259e+00 1.816409853188441170e+00
5.167941261067709569e+00 1.817473760294269214e+00
7.423858755045575464e+00 1.819116050814238328e+00
9.703490933593752032e+00 1.819636065259980118e+00
1.166436985188802211e+01 1.820840588516953185e+00
1.390122259944661565e+01 1.822175115385361144e+00
1.617713482747396370e+01 1.822607576378503902e+00
1.817009831901042105e+01 1.823528214198260278e+00
2.042322585009765845e+01 1.825308467734446660e+00
2.263729390071614844e+01 1.826783610753999199e+00
2.464839215104167280e+01 1.828436513813677777e+00
2.692035193164062790e+01 1.830264523778555086e+00
2.918649928955077755e+01 1.831002095288331022e+00
3.120782740380859721e+01 1.831917426838233665e+00
3.346258241324869687e+01 1.834586480575049583e+00
3.549739534814452924e+01 1.835798963236804360e+00
