# User			Meike Reginka
# Sample		2021_0185_1
# State			as made
# Profile		mere_beads.txt
# Comment
# ML 
# 
# Meas. type 		Minor loops
# angle (deg)		 0.000
# Hmin (kA/m)		-70.000
# Hmax (kA/m)		70.000
# pts./branch		70
# time/pt. (s)		 0.020
# dt (s)		 0.020
# nCycles		1
# Hstop (kA/m)		 0.000
# wait (s)		60.000
# nSched		5
# nMinorLoops		5
# nX			2
# nY			2
# dx (mm)		 0.250
# dy (mm)		 0.250
# avg. raster		no average raster
# Loop			5/5
# -----------------------------------------------
# H (kA/m) 	 I (arb.u.)
7.152837109912110236e+01 1.856156467533615073e+00
6.961933899121093816e+01 1.856082179755651929e+00
6.763195542545574312e+01 1.856626072415738848e+00
6.561457975862630576e+01 1.857061186543808251e+00
6.363184613102214371e+01 1.856840976344845906e+00
6.163748765804037077e+01 1.856549131502848171e+00
5.960639467366536337e+01 1.856060954676233887e+00
5.759855138004558484e+01 1.856299736819686519e+00
5.534914379947917240e+01 1.856565050312411813e+00
5.337292008528644516e+01 1.855944216739434660e+00
5.136856424527994136e+01 1.856740157217610765e+00
4.935118857845051821e+01 1.856750769757319564e+00
4.731846811572265921e+01 1.856618113010956916e+00
4.508394033723958216e+01 1.856920570392663450e+00
4.309539428694661467e+01 1.856082179755651929e+00
4.106244132731119834e+01 1.856344840113449912e+00
3.906994282958984144e+01 1.855891154040889557e+00
3.679310061393229603e+01 1.856323615034031871e+00
3.476200762955728862e+01 1.856453618645467207e+00
3.281879847623697799e+01 1.856281164875195788e+00
3.052382150179037268e+01 1.856063607811161198e+00
2.850551584733073440e+01 1.855941563604507349e+00
2.648442022998046852e+01 1.856363412057940865e+00
2.420595053597005730e+01 1.856121976779560701e+00
2.219392229801432492e+01 1.855543593365419408e+00
1.992196251741536983e+01 1.855230523444003632e+00
1.787366476188151410e+01 1.854023347052103698e+00
1.585396412597656557e+01 1.852394322206770916e+00
1.359107172477214043e+01 1.848218287831274731e+00
1.159671325179036572e+01 1.841187480274054877e+00
9.356605547526044120e+00 1.832063349259232199e+00
7.338764886881512517e+00 1.827725473653174060e+00
5.079127442382813662e+00 1.825210301742138608e+00
3.055241862141928166e+00 1.823321269673934486e+00
8.511711785481772541e-01 1.821578160026729343e+00
-1.182711768717448209e+00 1.820238326888466540e+00
-3.448859126627605409e+00 1.819047069306129805e+00
-5.461119861490885796e+00 1.816773332673474517e+00
-7.468498161295575422e+00 1.814470411556619478e+00
-9.702328449055992010e+00 1.811965852185293047e+00
-1.168436458593750338e+01 1.810278458371560539e+00
-1.392330980566406495e+01 1.809092507059078425e+00
-1.596021521272786892e+01 1.808084315786722573e+00
-1.820125290462240031e+01 1.806686113680060490e+00
-2.023885580240885673e+01 1.805120764072981387e+00
-2.243734656022135354e+01 1.803340510536794339e+00
-2.446936953222656541e+01 1.802165171764021467e+00
-2.647930529801432442e+01 1.800644925450705536e+00
-2.874824261881510878e+01 1.799626121638641107e+00
-3.075562091861979397e+01 1.799246723344043675e+00
-3.276485919368489164e+01 1.796646651115336057e+00
-3.508889828157551705e+01 1.794834559960022391e+00
-3.707930430712890768e+01 1.793250638408452780e+00
-3.911411724202474005e+01 1.791329768721121818e+00
-4.135375995247395764e+01 1.788796024865594747e+00
-4.334067852441405932e+01 1.785999620652270803e+00
-4.534294189225260396e+01 1.783325260645599375e+00
-4.760513680273437842e+01 1.780138845597968977e+00
-4.960158774788411051e+01 1.777451219916661662e+00
-5.160826855696613791e+01 1.777976540632258073e+00
-5.358890971240234791e+01 1.775779744912492131e+00
-5.557722326578777228e+01 1.775190748958642262e+00
-5.782732833707682119e+01 1.774307255027866903e+00
-5.988329849055988774e+01 1.773943775542833556e+00
-6.186556712434895644e+01 1.774015410185869168e+00
-6.381923863850911971e+01 1.773962347487324287e+00
-6.583103437955729476e+01 1.773476823795636870e+00
-6.809904171272786755e+01 1.773930509868197225e+00
-7.009154021044922445e+01 1.773890712844288453e+00
-7.211798325667318466e+01 1.773492742605200512e+00
-7.213937297216796196e+01 1.773938469272979157e+00
-7.038843876139323186e+01 1.774116229313104975e+00
-6.854776074430337474e+01 1.773630705621418002e+00
-6.644715118457030201e+01 1.773975613161960840e+00
-6.454695395914711753e+01 1.773922550463415293e+00
-6.265884657291666571e+01 1.773888059709361142e+00
-6.074121207942707912e+01 1.773858875225161169e+00
-5.879428297558594352e+01 1.774389502210612202e+00
-5.662299435595702590e+01 1.774153373202086437e+00
-5.465630301497395749e+01 1.775018295188370621e+00
-5.270681644514974806e+01 1.774171945146576945e+00
-5.074291506705728239e+01 1.773535192764037038e+00
-4.877971117968751003e+01 1.774031328995433032e+00
-4.657029306722005657e+01 1.773880100304579210e+00
-4.456779720247395460e+01 1.773840303280670883e+00
-4.256437135009765171e+01 1.773848262685452370e+00
-4.038610782324219173e+01 1.774370930266121027e+00
-3.839360932552082772e+01 1.774978498164461849e+00
-3.637693114941406236e+01 1.775063398482134236e+00
-3.412891855029296551e+01 1.774768900505208968e+00
-3.211875028759765627e+01 1.775225239712696412e+00
-3.014113159195963476e+01 1.775214627172987170e+00
-2.786986930208333746e+01 1.774161332606868369e+00
-2.586900091569010485e+01 1.774341745781921054e+00
-2.385697267773437957e+01 1.774575221655519508e+00
-2.157245806412760913e+01 1.774628284354064611e+00
-1.955810485709635671e+01 1.775188095823714729e+00
-1.729381747444661954e+01 1.775692191459893099e+00
-1.524598471272786604e+01 1.777461832456370905e+00
-1.299611213834635493e+01 1.779796591192353672e+00
-1.100524111897786739e+01 1.785657366246655053e+00
-8.760250979654950143e+00 1.796142555479157910e+00
-6.758220108723961062e+00 1.802109455930549053e+00
-4.735264516113281807e+00 1.804648506055930302e+00
-2.487251916992188061e+00 1.806709991894405842e+00
-4.501140130208333701e-01 1.808795355947226291e+00
1.760931577799479841e+00 1.811398081310861219e+00
3.779237232259115231e+00 1.814037950563477386e+00
6.024227371582032475e+00 1.816258624497588015e+00
8.028118217773439369e+00 1.817808055295103031e+00
1.032193270768229354e+01 1.820079138792831452e+00
1.226537435791015973e+01 1.820890998080570533e+00
1.452663928076172439e+01 1.822925952569774299e+00
1.655354732080078506e+01 1.823180653522790573e+00
1.855255573193359808e+01 1.824695593566251439e+00
2.081637812076823124e+01 1.826515644126346594e+00
2.281003910302734994e+01 1.827828945915336956e+00
2.507479147949219112e+01 1.829542871078342348e+00
2.706682498339844045e+01 1.830813722708496183e+00
2.909908045231119544e+01 1.831845792195197387e+00
3.137964261848958003e+01 1.833437673151549152e+00
3.339678578841145651e+01 1.835010982163410187e+00
3.545903335839843606e+01 1.837239615502302748e+00
3.769867606884765365e+01 1.839786625032465484e+00
3.973511648209635894e+01 1.842551191626662810e+00
4.173203242106119149e+01 1.845687197110675637e+00
4.373104083219401161e+01 1.849284848072030751e+00
4.597603097151692708e+01 1.852317381293880683e+00
4.798457175585937051e+01 1.853442310503035539e+00
5.000636486393230484e+01 1.854681324514062313e+00
5.201885809570313768e+01 1.855490530666874305e+00
5.404041870686848625e+01 1.856135242454197032e+00
5.626285664615885906e+01 1.856100751700142659e+00
5.827999981608073909e+01 1.856307696224468229e+00
6.026529090966797497e+01 1.856389943407213083e+00
6.228313157031249858e+01 1.856299736819686741e+00
6.431794450520833095e+01 1.856509334478939621e+00
6.627231351009115201e+01 1.856822404400355175e+00
6.826062706347656217e+01 1.856228102176650907e+00
7.027172531380207943e+01 1.856825057535282708e+00
