Field(mT)	GrayLevel	File
34.785741 	 2128.787109 	 image0000.png
32.788198 	 2128.835449 	 image0001.png
30.794487 	 2128.820068 	 image0002.png
28.798510 	 2128.839355 	 image0003.png
26.802345 	 2128.787354 	 image0004.png
24.814947 	 2128.772949 	 image0005.png
22.823734 	 2128.822510 	 image0006.png
20.825036 	 2128.735596 	 image0007.png
18.821730 	 2128.764648 	 image0008.png
16.834896 	 2128.851562 	 image0009.png
14.838175 	 2129.026367 	 image0010.png
12.834395 	 2128.994629 	 image0011.png
10.844334 	 2128.972412 	 image0012.png
8.848978 	 2128.939453 	 image0013.png
6.843495 	 2128.986816 	 image0014.png
4.843372 	 2128.938721 	 image0015.png
2.848062 	 2119.290771 	 image0016.png
0.870500 	 2115.299805 	 image0017.png
-1.189749 	 2115.170410 	 image0018.png
-3.175046 	 2115.055664 	 image0019.png
-5.173647 	 2115.065674 	 image0020.png
-7.169626 	 2114.963867 	 image0021.png
-9.166497 	 2114.752441 	 image0022.png
-11.175995 	 2114.463135 	 image0023.png
-13.178500 	 2114.386475 	 image0024.png
-15.177782 	 2114.160156 	 image0025.png
-17.183143 	 2113.909912 	 image0026.png
-19.196591 	 2113.532959 	 image0027.png
-21.194783 	 2112.940674 	 image0028.png
-23.200068 	 2112.136230 	 image0029.png
-25.210611 	 2110.935547 	 image0030.png
-27.222980 	 2109.005859 	 image0031.png
-29.225807 	 2106.513184 	 image0032.png
-31.231280 	 2104.692139 	 image0033.png
-33.240982 	 2103.608154 	 image0034.png
-35.243032 	 2103.007324 	 image0035.png
-37.235441 	 2102.649902 	 image0036.png
-39.228489 	 2102.250732 	 image0037.png
-41.232097 	 2102.129150 	 image0038.png
-43.235832 	 2101.905762 	 image0039.png
-45.234558 	 2101.710449 	 image0040.png
-47.235686 	 2101.683105 	 image0041.png
-49.239702 	 2101.589844 	 image0042.png
-51.242407 	 2101.485596 	 image0043.png
-53.229017 	 2101.318848 	 image0044.png
-55.260040 	 2101.206055 	 image0045.png
-57.270701 	 2101.265869 	 image0046.png
-59.268230 	 2101.324219 	 image0047.png
-61.264113 	 2101.256104 	 image0048.png
-63.281360 	 2101.132812 	 image0049.png
-65.301082 	 2101.213623 	 image0050.png
-63.282062 	 2101.145508 	 image0051.png
-61.265439 	 2101.145752 	 image0052.png
-59.269094 	 2101.120117 	 image0053.png
-57.271780 	 2101.083740 	 image0054.png
-55.260815 	 2101.119141 	 image0055.png
-53.229624 	 2101.144775 	 image0056.png
-51.242688 	 2101.164795 	 image0057.png
-49.240799 	 2101.202637 	 image0058.png
-47.236710 	 2101.171387 	 image0059.png
-45.235415 	 2101.148193 	 image0060.png
-43.236628 	 2101.116455 	 image0061.png
-41.232915 	 2101.152100 	 image0062.png
-39.229415 	 2101.221680 	 image0063.png
-37.236166 	 2101.282471 	 image0064.png
-35.243622 	 2101.233643 	 image0065.png
-33.241273 	 2101.464844 	 image0066.png
-31.231165 	 2101.536377 	 image0067.png
-29.226103 	 2101.642090 	 image0068.png
-27.223063 	 2101.930176 	 image0069.png
-25.210483 	 2102.015381 	 image0070.png
-23.200596 	 2102.305420 	 image0071.png
-21.194198 	 2102.700684 	 image0072.png
-19.196219 	 2103.126709 	 image0073.png
-17.183169 	 2103.718018 	 image0074.png
-15.176682 	 2104.454834 	 image0075.png
-13.177399 	 2105.846680 	 image0076.png
-11.176277 	 2107.655273 	 image0077.png
-9.166913 	 2110.109375 	 image0078.png
-7.168934 	 2112.124023 	 image0079.png
-5.172843 	 2113.164551 	 image0080.png
-3.176231 	 2113.761475 	 image0081.png
-1.190109 	 2114.113770 	 image0082.png
0.871060 	 2114.435547 	 image0083.png
2.847906 	 2114.605469 	 image0084.png
4.844099 	 2114.775635 	 image0085.png
6.844393 	 2115.108398 	 image0086.png
8.848941 	 2115.380615 	 image0087.png
10.844442 	 2116.130615 	 image0088.png
12.834650 	 2125.386963 	 image0089.png
14.837868 	 2128.892334 	 image0090.png
16.834423 	 2128.934082 	 image0091.png
18.821692 	 2128.995361 	 image0092.png
20.824526 	 2128.888916 	 image0093.png
22.822833 	 2128.932373 	 image0094.png
24.814371 	 2128.985352 	 image0095.png
26.801643 	 2128.921875 	 image0096.png
28.798383 	 2128.985596 	 image0097.png
30.793847 	 2129.037109 	 image0098.png
32.786778 	 2128.934570 	 image0099.png
34.784949 	 2129.000977 	 image0100.png
