Applied Field (H [arb. u.]),Magnetization with slope
200.0,4.502451437794316
199.0,4.55465942439165
198.0,4.511292418060821
197.0,4.504445470609033
196.0,4.463541485183004
195.0,4.406405427137484
194.0,4.352560373704054
193.0,4.308792154611627
192.0,4.3308374401032195
191.0,4.251475448857942
190.0,4.287239162643596
189.0,4.194637515969426
188.0,4.283388642045041
187.0,4.219194888903194
186.0,4.109701698991264
185.0,4.093542927442337
184.0,4.075187013229765
183.0,3.9925960115288133
182.0,4.107901191264732
181.0,3.984017436174105
180.0,0.5537997477483287
179.0,3.972965858602805
178.0,3.9799195269869445
177.0,3.7950505744973095
176.0,3.8222839980086407
175.0,3.7744906064478627
174.0,3.7471262439106647
173.0,3.808959773259645
172.0,3.663857071491872
171.0,3.6456857606633326
170.0,3.5975998170934456
169.0,3.6484387232267084
168.0,3.6158120874984974
167.0,3.4887263513089666
166.0,3.4945373543677793
165.0,3.45972694447031
164.0,3.4094096491867605
163.0,3.447351281272693
162.0,3.3919291904280326
161.0,3.3375171677420354
160.0,3.333636419245358
159.0,3.243958806636227
158.0,3.22152988867278
157.0,3.166096877188144
156.0,3.2116597123473496
155.0,3.2073960303999023
154.0,3.094924316371003
153.0,3.093755760218655
152.0,3.108257894991247
151.0,3.0484253342101306
150.0,2.944223511040935
149.0,2.9431536264296314
148.0,2.8948741993962677
147.0,2.877816290830147
146.0,2.8425507889599047
145.0,2.8642022156855513
144.0,2.803913592265613
143.0,2.7386426535134047
142.0,2.708542040365889
141.0,2.763074852742258
140.0,2.713063359485888
139.0,2.6946868913337987
138.0,2.6053940600703736
137.0,2.5591904097188305
136.0,2.5695622722669924
135.0,2.4789711227061604
134.0,2.488304309116361
133.0,2.4239505832395567
132.0,2.3973167189078843
131.0,2.3578157218431923
130.0,2.361186776883517
129.0,2.285971474322885
128.0,2.281079212303026
127.0,2.2635625153939443
126.0,2.2612086422905495
125.0,5.373564597540378
124.0,2.266917370129939
123.0,2.124842973520384
122.0,2.1417229347742364
121.0,2.1227604943520966
120.0,2.0421311346543036
119.0,2.0015772257535938
118.0,1.9488877362185502
117.0,1.8783016827921544
116.0,1.9094482338010903
115.0,1.8458952615121484
114.0,1.8495912842125737
113.0,1.8851729160723827
112.0,1.7840554228645447
111.0,-2.675059766950808
110.0,1.7273079664902329
109.0,1.737008828078301
108.0,1.6421924619282704
107.0,1.5315265415655661
106.0,1.527176435526083
105.0,1.5510369391204688
104.0,1.5439079033954677
103.0,1.4722699734208713
102.0,1.5216313448845589
101.0,1.458839700700092
100.0,1.4382292908898213
99.0,1.2905001317814002
98.0,1.3827987962957953
97.0,1.2983389223170043
96.0,1.2300653405807234
95.0,1.1571221015701494
94.0,1.217645020221335
93.0,1.1678873150292963
92.0,1.1565878397811002
91.0,1.0978071808416705
90.0,1.1278216827050658
89.0,1.0759288465817285
88.0,1.0457120301591192
87.0,0.9956237660109366
86.0,0.9391880509501016
85.0,4.643326225831003
84.0,0.8963338420705331
83.0,0.8657765763675611
82.0,0.7860734931654081
81.0,0.6804031585908139
80.0,0.7278894055047598
79.0,0.7578630674953084
78.0,0.6790089554783383
77.0,0.686434888352633
76.0,0.6282799630829778
75.0,0.5289342245275872
74.0,0.6037107770972834
73.0,0.5058418053133278
72.0,0.4586575131419002
71.0,0.3581327424745564
70.0,0.3975184204122377
69.0,0.42420887760083925
68.0,0.4246400454773891
67.0,0.3365401392374694
66.0,0.31895086652503757
65.0,0.3019471692313118
64.0,0.3687369765761428
63.0,0.16078271732230132
62.0,0.13682085407948819
61.0,0.18924228205846028
60.0,0.11594311902362442
59.0,0.11720850801712057
58.0,0.06352936291369726
57.0,-0.01578169898191728
56.0,0.01139453416166436
55.0,-0.0192144412006785
54.0,-0.09013052337866423
53.0,-0.08106944276068173
52.0,-0.1792155209984898
51.0,-0.23327634910783956
50.0,-0.18924651755992183
49.0,-0.22752314496440107
48.0,-0.2981843781317801
47.0,-0.2748003282546483
46.0,-0.34123445241851247
45.0,-0.3814339847425252
44.0,-0.4172218642060068
43.0,-0.42271745625849544
42.0,-0.47559611424588866
41.0,-0.47566243919428075
40.0,-0.534983162149345
39.0,-0.46805250707126866
38.0,-0.649613364827772
37.0,-0.6358727109956828
36.0,-0.6849218200020992
35.0,-0.6993945384231486
34.0,-0.7297036573495799
33.0,-0.7953508206451172
32.0,-0.7752488775767681
31.0,-0.7927638693016741
30.0,-0.8974758104278546
29.0,-0.8784426801714496
28.0,-0.8755999638720668
27.0,-0.9973025273618523
26.0,-0.9471384399418357
25.0,4.529927943768744
24.0,-0.9893238973120955
23.0,-1.0650178496609675
22.0,-1.1196365280853229
21.0,-1.1505853251715985
20.0,-1.1717816734845652
19.0,-1.1415255165542169
18.0,-1.2681534130686014
17.0,-1.2751798681551314
16.0,-1.3322322823283779
15.0,-1.3123278154750038
14.0,-1.3899450977641283
13.0,-1.4174271217967966
12.0,-1.4283685948447493
11.0,-1.375035068075836
10.0,-1.4716093684701201
9.0,-1.5592442754765
8.0,-1.6364190091488595
7.0,-1.6420437886988744
6.0,-1.5310102406883717
5.0,-1.6377804765070954
4.0,-1.6149706141136706
3.0,-1.8006306381249768
2.0,-1.728452418150587
1.0,-1.8261718912312137
0.0,-1.8484972325887892
-1.0,-1.8102411399636207
-2.0,-1.8602214501292194
-3.0,-1.9673652039232188
-4.0,-1.8963219373278584
-5.0,-1.96279804711895
-6.0,-2.031838044479511
-7.0,-2.076433722653336
-8.0,-2.000404352658527
-9.0,-2.027953359565047
-10.0,-2.1751552765610613
-11.0,-2.11430204423206
-12.0,-2.1965370663501753
-13.0,-2.201565646339934
-14.0,-2.270281256782763
-15.0,-2.172932706221413
-16.0,-2.317702563726135
-17.0,-2.3159174728053467
-18.0,-2.387181882353663
-19.0,-2.4805756023523546
-20.0,-2.4529598100320573
-21.0,-2.5081535270158835
-22.0,-2.4773240300794592
-23.0,-2.5680833418317723
-24.0,-2.5377921508534333
-25.0,-2.644250111696766
-26.0,-2.5734103808248108
-27.0,-2.7215196079224047
-28.0,-2.7476565080508077
-29.0,-2.7452340020473125
-30.0,-2.777063016304883
-31.0,-2.8121482721290603
-32.0,-2.7629546552610664
-33.0,-2.90081214995143
-34.0,-2.8969217489176833
-35.0,-2.9451876626171245
-36.0,-2.922737564361338
-37.0,-3.0075085662940992
-38.0,-3.0814345383417363
-39.0,-3.0605866865956113
-40.0,-3.086767023006664
-41.0,-3.1189591133460777
-42.0,-3.1225131401614075
-43.0,-3.2092990878080823
-44.0,-3.211006479280061
-45.0,-3.2441051912557883
-46.0,-3.2326120274681722
-47.0,-3.312102502515489
-48.0,-3.3497074671407834
-49.0,-3.3216348666323743
-50.0,-3.378085866318508
-51.0,-3.4191991859324187
-52.0,-3.4698575784875887
-53.0,-3.4806242557115095
-54.0,-3.5806318618632194
-55.0,-3.52235111691014
-56.0,-3.713340528436518
-57.0,-3.6158974543196454
-58.0,-3.7095725298159143
-59.0,-3.685787205455407
-60.0,-8.330069453492797
-61.0,-3.744041929885382
-62.0,-3.7479740411403837
-63.0,-8.037928152189979
-64.0,-3.8179256292514454
-65.0,-3.866685413463772
-66.0,-3.911719990829682
-67.0,-3.943189364861156
-68.0,-4.050106772007011
-69.0,-4.023328436716799
-70.0,-4.110227597399142
-71.0,-4.069939105991177
-72.0,-4.138218131613036
-73.0,-4.096366398529111
-74.0,-4.100004901762494
-75.0,-4.1833363847694525
-76.0,-4.201743364184839
-77.0,-4.262262886319633
-78.0,-4.2732770341639
-79.0,-4.303029146810451
-80.0,-4.392299519971569
-81.0,-4.369545447143881
-82.0,-4.518937880689521
-83.0,-4.421434593391045
-84.0,-4.496231383898603
-85.0,-4.485311522845565
-86.0,-4.5914503112986225
-87.0,-4.668442675610269
-88.0,-4.528153504957053
-89.0,-4.610630702578889
-90.0,-4.707886550723305
-91.0,-4.645991147632914
-92.0,-4.768080686869914
-93.0,-4.8098425581629645
-94.0,-4.79228384496731
-95.0,-4.899105683874767
-96.0,-4.871552401170366
-97.0,-4.883215323055064
-98.0,-4.94080153803211
-99.0,-4.979391042633015
-100.0,-4.956068983115265
-101.0,-5.122102924084364
-102.0,-5.155610933725489
-103.0,-5.4096746062676875
-104.0,-6.025850698418149
-105.0,-6.105152228084659
-106.0,-6.669800341513965
-107.0,-6.966772666651268
-108.0,-7.254676148232239
-109.0,-7.284714755289494
-110.0,-7.335176471298975
-111.0,-7.3627722116728584
-112.0,-7.412134847545748
-113.0,-7.397489394328482
-114.0,-7.452759069274705
-115.0,-7.452870602830231
-116.0,-11.279330074820782
-117.0,-7.512552473025968
-118.0,-7.560450440967907
-119.0,-7.61694161959775
-120.0,-7.622337892554263
-121.0,-7.637013433090901
-122.0,-7.758671754058218
-123.0,-7.7548299505696345
-124.0,-7.8072944140467255
-125.0,-7.761476753569253
-126.0,-7.805876594900896
-127.0,-7.822762414598003
-128.0,-7.823966898174841
-129.0,-7.943405953166908
-130.0,-7.966263226287862
-131.0,-7.965484920380957
-132.0,-8.042469939635003
-133.0,-8.02565276627117
-134.0,-8.08501311398854
-135.0,-8.149703882049042
-136.0,-8.098543262150121
-137.0,-8.162958629662189
-138.0,-8.229475470221908
-139.0,-8.238067471207732
-140.0,-3.9914148659535282
-141.0,-8.327059368504994
-142.0,-8.315513676222762
-143.0,-8.35553825797048
-144.0,-8.360642874911658
-145.0,-8.45923185599544
-146.0,-8.50493266394375
-147.0,-8.548708635555233
-148.0,-8.522992872356346
-149.0,-8.58218736073879
-150.0,-8.508913888442262
-151.0,-8.669934069001652
-152.0,-8.645663015162619
-153.0,-8.68795791069352
-154.0,-8.669857440033724
-155.0,-8.780536140231458
-156.0,-8.841203159201033
-157.0,-8.799245062290833
-158.0,-8.776019244638444
-159.0,-8.83028907627297
-160.0,-8.88449547988678
-161.0,-8.918520919512279
-162.0,-8.99405121848961
-163.0,-9.049933237183348
-164.0,-9.028554828924173
-165.0,-9.054527517188914
-166.0,-9.141307626081069
-167.0,-9.197494875455519
-168.0,-9.20662676126077
-169.0,-9.229541869879384
-170.0,-9.313340664281705
-171.0,-9.279372386547834
-172.0,-9.304555257894998
-173.0,-9.339213126660113
-174.0,-9.274646228959789
-175.0,-9.375363853813584
-176.0,-9.461770350489545
-177.0,-9.501008689897725
-178.0,-9.48753946744148
-179.0,-9.52739920283303
-180.0,-9.564533484346988
-181.0,-9.588368372752534
-182.0,-9.665396613815602
-183.0,-9.605981403663506
-184.0,-9.716909259512077
-185.0,-9.756666885955212
-186.0,-9.762749081859534
