Applied Field (H [arb. u.]),Magnetization with slope
200.0,4.102451437794316
199.0,4.15665942439165
198.0,4.115292418060821
197.0,4.110445470609033
196.0,4.071541485183004
195.0,4.016405427137484
194.0,3.9645603737040536
193.0,3.922792154611627
192.0,3.946837440103219
191.0,3.869475448857943
190.0,3.907239162643596
189.0,3.8166375159694255
188.0,3.9073886420450408
187.0,3.8451948889031935
186.0,3.7377016989912644
185.0,3.7235429274423373
184.0,3.7071870132297655
183.0,3.6265960115288136
182.0,3.743901191264732
181.0,3.622017436174105
180.0,3.623137286300613
179.0,3.6149658586028055
178.0,3.6239195269869446
177.0,3.4410505744973094
176.0,3.4702839980086404
175.0,3.424490606447863
174.0,3.399126243910665
173.0,3.462959773259645
172.0,3.319857071491872
171.0,3.303685760663333
170.0,3.2575998170934457
169.0,3.3104387232267083
168.0,3.279812087498497
167.0,3.154726351308967
166.0,3.1625373543677795
165.0,3.1297269444703097
164.0,3.08140964918676
163.0,3.1213512812726933
162.0,3.067929190428033
161.0,3.0155171677420354
160.0,3.0136364192453575
159.0,2.925958806636227
158.0,2.9055298886727803
157.0,2.852096877188144
156.0,2.8996597123473493
155.0,2.8973960303999027
154.0,2.786924316371003
153.0,2.787755760218655
152.0,2.8042578949912467
151.0,2.746425334210131
150.0,2.644223511040935
149.0,2.6451536264296314
148.0,2.5988741993962674
147.0,2.583816290830147
146.0,2.550550788959905
145.0,2.5742022156855513
144.0,2.515913592265613
143.0,2.4526426535134043
142.0,2.424542040365889
141.0,2.481074852742258
140.0,2.433063359485888
139.0,2.416686891333799
138.0,2.3293940600703738
137.0,2.2851904097188305
136.0,2.297562272266992
135.0,2.20897112270616
134.0,2.220304309116361
133.0,2.1579505832395567
132.0,2.133316718907884
131.0,2.0958157218431928
130.0,2.1011867768835173
129.0,2.027971474322885
128.0,2.0250792123030257
127.0,2.0095625153939447
126.0,2.0092086422905497
125.0,1.9435596461098497
124.0,2.0189173701299388
123.0,1.8788429735203835
122.0,1.8977229347742366
121.0,1.8807604943520966
120.0,1.8021311346543034
119.0,1.7635772257535933
118.0,1.7128877362185504
117.0,1.6443016827921544
116.0,1.67744823380109
115.0,1.615895261512148
114.0,1.621591284212574
113.0,1.6591729160723827
112.0,1.5600554228645445
111.0,1.5095068804902692
110.0,1.5073079664902331
109.0,1.519008828078301
108.0,1.4261924619282702
107.0,1.3175265415655657
106.0,1.3151764355260833
105.0,1.3410369391204688
104.0,1.3359079033954675
103.0,1.2662699734208709
102.0,1.3176313448845591
101.0,1.256839700700092
100.0,1.2382292908898211
99.0,1.0925001317813998
98.0,1.1867987962957955
97.0,1.1043389223170044
96.0,1.0380653405807232
95.0,0.967122101570149
94.0,1.0296450202213352
93.0,0.9818873150292964
92.0,0.9725878397811001
91.0,0.9158071808416701
90.0,0.9478216827050661
