Applied Field (H [arb. u.]),Magnetization with slope
200.0,4.102451437794316
199.0,4.18665942439165
198.0,4.17529241806082
197.0,4.200445470609033
196.0,4.191541485183004
195.0,4.166405427137485
194.0,4.144560373704054
193.0,4.132792154611627
192.0,4.186837440103219
191.0,4.139475448857943
190.0,4.207239162643596
189.0,4.1466375159694255
188.0,4.267388642045041
187.0,4.235194888903194
186.0,4.157701698991264
185.0,4.1735429274423375
184.0,4.1871870132297655
183.0,4.136596011528813
182.0,4.283901191264732
181.0,4.192017436174105
180.0,3.892886384343594
179.0,4.244965858602805
178.0,4.283919526986945
177.0,4.131050574497309
176.0,4.19028399800864
175.0,4.174490606447863
174.0,4.179126243910665
173.0,4.272959773259645
172.0,4.159857071491872
171.0,4.173685760663333
170.0,4.157599817093446
169.0,4.240438723226708
168.0,4.239812087498497
167.0,4.144726351308967
166.0,4.1825373543677795
165.0,4.17972694447031
164.0,4.16140964918676
163.0,4.231351281272693
162.0,4.2079291904280325
161.0,4.185517167742035
160.0,4.213636419245358
159.0,4.155958806636227
158.0,4.16552988867278
157.0,4.142096877188144
156.0,4.219659712347349
155.0,4.247396030399902
154.0,4.166924316371003
153.0,4.197755760218655
152.0,4.244257894991247
151.0,4.216425334210131
150.0,4.144223511040935
149.0,4.175153626429632
148.0,4.1588741993962675
147.0,4.173816290830147
146.0,4.170550788959905
145.0,4.224202215685551
144.0,4.195913592265613
143.0,4.162642653513404
142.0,4.164542040365889
141.0,4.251074852742258
140.0,4.233063359485888
139.0,4.246686891333799
138.0,4.189394060070374
137.0,4.17519040971883
136.0,4.217562272266992
135.0,4.15897112270616
134.0,4.200304309116361
133.0,4.1679505832395565
132.0,4.173316718907884
131.0,4.165815721843193
130.0,4.201186776883517
129.0,4.157971474322885
128.0,4.185079212303026
127.0,4.199562515393945
126.0,4.2292086422905495
125.0,3.8145721057541673
124.0,4.298917370129939
123.0,4.188842973520384
122.0,4.2377229347742364
121.0,4.250760494352097
120.0,4.202131134654303
119.0,4.193577225753593
118.0,4.17288773621855
117.0,4.134301682792154
116.0,4.19744823380109
115.0,4.165895261512148
114.0,4.201591284212574
113.0,4.269172916072383
112.0,4.200055422864544
111.0,3.7991017591622103
110.0,4.207307966490233
109.0,4.249008828078301
108.0,4.18619246192827
107.0,4.107526541565566
106.0,4.135176435526083
105.0,4.191036939120469
104.0,4.215907903395467
103.0,4.176269973420871
102.0,4.257631344884559
101.0,4.226839700700092
100.0,4.238229290889821
99.0,4.1225001317814
98.0,4.246798796295796
97.0,4.194338922317004
96.0,4.158065340580723
95.0,4.117122101570149
94.0,4.209645020221335
93.0,4.191887315029296
92.0,4.2125878397811
91.0,4.18580718084167
90.0,4.247821682705066
89.0,4.227928846581729
88.0,4.229712030159119
87.0,4.211623766010936
86.0,4.187188050950102
85.0,4.696640723016629
84.0,4.208333842070533
83.0,4.2097765763675605
82.0,4.162073493165408
81.0,4.088403158590814
80.0,4.167889405504759
79.0,4.229863067495308
78.0,4.183008955478338
77.0,4.222434888352633
76.0,4.1962799630829775
75.0,4.128934224527587
74.0,4.2357107770972835
73.0,4.169841805313328
72.0,4.1546575131419
71.0,4.086132742474556
70.0,4.157518420412238
69.0,4.216208877600839
68.0,4.248640045477389
67.0,4.192540139237469
66.0,4.2069508665250375
65.0,4.221947169231312
64.0,4.320736976576143
63.0,4.1447827173223
62.0,4.152820854079488
61.0,4.23724228205846
60.0,4.1959431190236245
59.0,4.22920850801712
58.0,4.207529362913697
57.0,4.160218301018083
56.0,4.2193945341616645
55.0,4.220785558799321
54.0,4.181869476621336
53.0,4.2229305572393185
52.0,4.15678447900151
