Applied Field (H [arb. u.]),Magnetization with slope
200.0,4.502451437794316
199.0,4.58465942439165
198.0,4.57129241806082
197.0,4.594445470609033
196.0,4.583541485183004
195.0,4.556405427137484
194.0,4.532560373704054
193.0,4.518792154611627
192.0,4.57083744010322
191.0,4.5214754488579425
190.0,4.587239162643596
189.0,4.524637515969426
188.0,4.643388642045041
187.0,4.609194888903193
186.0,4.529701698991264
185.0,4.543542927442338
184.0,4.555187013229766
183.0,4.502596011528813
182.0,4.647901191264732
181.0,4.554017436174105
180.0,4.583137286300613
179.0,4.602965858602805
178.0,4.639919526986945
177.0,4.4850505744973095
176.0,4.5422839980086405
175.0,4.524490606447863
174.0,4.527126243910665
173.0,4.618959773259645
172.0,4.503857071491872
171.0,4.515685760663333
170.0,4.4975998170934455
169.0,4.578438723226708
168.0,4.575812087498497
167.0,4.478726351308967
166.0,4.514537354367779
165.0,4.50972694447031
164.0,4.4894096491867606
163.0,4.557351281272693
162.0,4.531929190428032
161.0,4.507517167742035
160.0,4.533636419245358
159.0,4.473958806636227
158.0,4.48152988867278
157.0,4.456096877188144
156.0,4.531659712347349
155.0,4.557396030399902
154.0,4.474924316371003
153.0,4.503755760218655
152.0,4.548257894991247
151.0,4.51842533421013
150.0,4.444223511040935
149.0,4.473153626429632
148.0,4.454874199396268
147.0,4.467816290830147
146.0,4.462550788959905
145.0,4.514202215685551
144.0,4.483913592265613
143.0,4.448642653513405
142.0,4.448542040365889
141.0,4.533074852742258
140.0,4.513063359485888
139.0,4.524686891333799
138.0,4.465394060070373
137.0,4.44919040971883
136.0,4.489562272266992
135.0,4.428971122706161
134.0,4.468304309116361
133.0,4.4339505832395565
132.0,4.437316718907884
131.0,4.427815721843192
130.0,4.461186776883517
129.0,4.415971474322885
128.0,4.441079212303026
127.0,4.453562515393944
126.0,4.481208642290549
125.0,4.44355964610985
124.0,4.546917370129939
123.0,4.434842973520384
122.0,4.481722934774236
121.0,4.492760494352097
120.0,4.4421311346543035
119.0,4.4315772257535935
118.0,4.40888773621855
117.0,4.368301682792154
116.0,4.42944823380109
115.0,4.395895261512148
114.0,4.429591284212574
113.0,4.495172916072383
112.0,4.424055422864544
111.0,4.4015068804902695
110.0,4.427307966490233
109.0,4.467008828078301
108.0,4.40219246192827
107.0,4.321526541565566
106.0,4.347176435526083
105.0,4.401036939120469
104.0,4.423907903395468
103.0,4.382269973420871
102.0,4.461631344884559
101.0,4.428839700700092
100.0,4.438229290889821
99.0,4.3205001317814
98.0,4.442798796295795
97.0,4.388338922317004
96.0,4.3500653405807235
95.0,4.307122101570149
94.0,4.397645020221335
93.0,4.377887315029296
92.0,4.3965878397811
91.0,4.3678071808416705
90.0,4.427821682705066
89.0,4.405928846581729
88.0,4.405712030159119
87.0,4.385623766010936
86.0,4.3591880509501015
85.0,4.352649910138386
84.0,4.376333842070533
83.0,4.375776576367561
82.0,4.326073493165408
81.0,4.250403158590814
80.0,4.327889405504759
79.0,4.387863067495308
78.0,4.339008955478338
77.0,4.376434888352633
76.0,4.348279963082978
75.0,4.278934224527587
74.0,4.383710777097283
73.0,4.315841805313328
72.0,4.2986575131419
71.0,4.228132742474556
70.0,4.297518420412238
69.0,4.354208877600839
68.0,4.384640045477389
67.0,4.326540139237469
66.0,4.338950866525037
65.0,4.351947169231312
64.0,4.448736976576143
63.0,4.270782717322301
62.0,4.276820854079488
61.0,4.35924228205846
60.0,4.315943119023625
59.0,4.34720850801712
58.0,4.323529362913697
57.0,4.274218301018083
56.0,4.331394534161665
55.0,4.330785558799321
54.0,4.289869476621336
53.0,4.328930557239318
52.0,4.26078447900151
51.0,4.23672365089216
50.0,4.310753482440078
49.0,4.302476855035599
48.0,4.2618156218682195
47.0,4.315199671745352
46.0,4.278765547581488
45.0,4.268566015257474
